id,company,flight_number,boarding,duration,landing,cost,offer,boarding_airport,landing_airport,stop,from_city,to_city
202,AirAsia,AI 1201,06:30,1h 26m,07:56,₹4019,Extra ₹410 off,JAI,CCU,Non-Stop,Jaipur,Kolkata
203,GoAir,GO 1202,16:00,2h 41m,18:41,₹9758,Extra ₹110 off,JAI,CCU,Non-Stop,Jaipur,Kolkata
204,AirAsia,AI 1203,14:30,2h 2m,16:32,₹9158,Extra ₹210 off,JAI,CCU,Non-Stop,Jaipur,Kolkata
205,Air India,AI 1204,08:00,2h 50m,10:50,₹4966,Extra ₹310 off,JAI,HYD,Non-Stop,Jaipur,Hyderabad
206,IndiGo,IN 1205,06:30,2h 1m,08:31,₹4259,Extra ₹410 off,JAI,HYD,Non-Stop,Jaipur,Hyderabad
207,Vistara,VI 1206,14:30,2h 55m,17:25,₹4868,Extra ₹410 off,JAI,HYD,1 Stop,Jaipur,Hyderabad
208,IndiGo,IN 1207,16:00,1h 2m,17:02,₹8445,Extra ₹110 off,JAI,GOI,Non-Stop,Jaipur,Goa
209,GoAir,GO 1208,08:00,2h 17m,10:17,₹12501,Extra ₹410 off,JAI,GOI,Non-Stop,Jaipur,Goa
210,SpiceJet,SP 1209,11:45,1h 19m,13:04,₹5518,Extra ₹410 off,JAI,GOI,Non-Stop,Jaipur,Goa
211,Vistara,VI 1210,14:30,1h 48m,16:18,₹11225,Extra ₹410 off,JAI,AMD,1 Stop,Jaipur,Ahmedabad
212,GoAir,GO 1211,16:00,2h 18m,18:18,₹9948,Extra ₹110 off,JAI,AMD,Non-Stop,Jaipur,Ahmedabad
213,AirAsia,AI 1212,06:30,2h 17m,08:47,₹5599,Extra ₹210 off,JAI,AMD,Non-Stop,Jaipur,Ahmedabad
214,Vistara,VI 1213,11:45,1h 0m,12:45,₹9667,Extra ₹410 off,JAI,PNQ,Non-Stop,Jaipur,Pune
215,IndiGo,IN 1214,09:30,1h 22m,10:52,₹13589,Extra ₹110 off,JAI,PNQ,1 Stop,Jaipur,Pune
216,Air India,AI 1215,19:30,2h 23m,21:53,₹4077,Extra ₹110 off,JAI,PNQ,Non-Stop,Jaipur,Pune
217,SpiceJet,SP 1216,11:45,2h 55m,14:40,₹13419,Extra ₹410 off,AMD,DEL,Non-Stop,Ahmedabad,Delhi
218,AirAsia,AI 1217,19:30,1h 2m,20:32,₹8025,Extra ₹210 off,AMD,DEL,1 Stop,Ahmedabad,Delhi
219,SpiceJet,SP 1218,14:30,1h 45m,16:15,₹6004,Extra ₹410 off,AMD,DEL,1 Stop,Ahmedabad,Delhi
220,Vistara,VI 1219,06:30,1h 7m,07:37,₹4945,Extra ₹310 off,AMD,BOM,Non-Stop,Ahmedabad,Mumbai
221,AirAsia,AI 1220,08:00,1h 6m,09:06,₹7603,Extra ₹410 off,AMD,BOM,Non-Stop,Ahmedabad,Mumbai
222,AirAsia,AI 1221,09:30,1h 55m,11:25,₹9200,Extra ₹310 off,AMD,BOM,Non-Stop,Ahmedabad,Mumbai
223,SpiceJet,SP 1222,09:30,2h 38m,12:08,₹8420,Extra ₹210 off,AMD,BLR,Non-Stop,Ahmedabad,Bengaluru
224,Air India,AI 1223,16:00,2h 28m,18:28,₹8007,Extra ₹310 off,AMD,BLR,Non-Stop,Ahmedabad,Bengaluru
225,Air India,AI 1224,11:45,1h 3m,12:48,₹13735,Extra ₹210 off,AMD,BLR,Non-Stop,Ahmedabad,Bengaluru
226,GoAir,GO 1225,09:30,1h 52m,11:22,₹8755,Extra ₹210 off,AMD,MAA,1 Stop,Ahmedabad,Chennai
227,GoAir,GO 1226,14:30,1h 43m,16:13,₹8012,Extra ₹110 off,AMD,MAA,Non-Stop,Ahmedabad,Chennai
228,Vistara,VI 1227,13:00,1h 42m,14:42,₹11241,Extra ₹410 off,AMD,MAA,Non-Stop,Ahmedabad,Chennai
229,SpiceJet,SP 1228,21:30,2h 20m,23:50,₹9667,Extra ₹110 off,AMD,CCU,Non-Stop,Ahmedabad,Kolkata
230,AirAsia,AI 1229,19:30,2h 24m,21:54,₹13345,Extra ₹110 off,AMD,CCU,Non-Stop,Ahmedabad,Kolkata
231,IndiGo,IN 1230,16:00,2h 59m,18:59,₹4712,Extra ₹110 off,AMD,CCU,Non-Stop,Ahmedabad,Kolkata
232,GoAir,GO 1231,14:30,1h 29m,15:59,₹10513,Extra ₹310 off,AMD,HYD,Non-Stop,Ahmedabad,Hyderabad
233,IndiGo,IN 1232,08:00,1h 24m,09:24,₹7978,Extra ₹110 off,AMD,HYD,Non-Stop,Ahmedabad,Hyderabad
234,Air India,AI 1233,19:30,2h 19m,21:49,₹7812,Extra ₹310 off,AMD,HYD,Non-Stop,Ahmedabad,Hyderabad
235,AirAsia,AI 1234,13:00,1h 8m,14:08,₹12233,Extra ₹210 off,AMD,GOI,Non-Stop,Ahmedabad,Goa
236,AirAsia,AI 1235,14:30,2h 18m,16:48,₹10102,Extra ₹110 off,AMD,GOI,Non-Stop,Ahmedabad,Goa
237,IndiGo,IN 1236,11:45,1h 21m,13:06,₹12612,Extra ₹110 off,AMD,GOI,Non-Stop,Ahmedabad,Goa
238,SpiceJet,SP 1237,11:45,1h 28m,13:13,₹12303,Extra ₹110 off,AMD,JAI,Non-Stop,Ahmedabad,Jaipur
239,Vistara,VI 1238,21:30,1h 22m,22:52,₹6167,Extra ₹110 off,AMD,JAI,1 Stop,Ahmedabad,Jaipur
240,AirAsia,AI 1239,16:00,1h 59m,17:59,₹5318,Extra ₹210 off,AMD,JAI,Non-Stop,Ahmedabad,Jaipur
241,GoAir,GO 1240,16:00,2h 0m,18:00,₹9744,Extra ₹210 off,AMD,PNQ,1 Stop,Ahmedabad,Pune
242,SpiceJet,SP 1241,14:30,2h 3m,16:33,₹7978,Extra ₹310 off,AMD,PNQ,1 Stop,Ahmedabad,Pune
243,SpiceJet,SP 1242,21:30,2h 39m,00:09,₹13272,Extra ₹110 off,AMD,PNQ,Non-Stop,Ahmedabad,Pune
244,GoAir,GO 1243,16:00,1h 18m,17:18,₹7209,Extra ₹110 off,PNQ,DEL,1 Stop,Pune,Delhi
245,Vistara,VI 1244,19:30,2h 0m,21:30,₹13998,Extra ₹210 off,PNQ,DEL,Non-Stop,Pune,Delhi
246,GoAir,GO 1245,08:00,1h 0m,09:00,₹4791,Extra ₹110 off,PNQ,DEL,Non-Stop,Pune,Delhi
247,Air India,AI 1246,08:00,1h 2m,09:02,₹11197,Extra ₹310 off,PNQ,BOM,Non-Stop,Pune,Mumbai
248,GoAir,GO 1247,16:00,2h 8m,18:08,₹4270,Extra ₹210 off,PNQ,BOM,1 Stop,Pune,Mumbai
249,Vistara,VI 1248,21:30,2h 28m,23:58,₹11959,Extra ₹410 off,PNQ,BOM,Non-Stop,Pune,Mumbai
250,Vistara,VI 1249,11:45,1h 16m,13:01,₹13942,Extra ₹410 off,PNQ,BLR,Non-Stop,Pune,Bengaluru
251,AirAsia,AI 1250,09:30,2h 28m,11:58,₹8533,Extra ₹110 off,PNQ,BLR,Non-Stop,Pune,Bengaluru
252,AirAsia,AI 1251,16:00,1h 36m,17:36,₹13765,Extra ₹410 off,PNQ,BLR,Non-Stop,Pune,Bengaluru
253,Vistara,VI 1252,11:45,1h 8m,12:53,₹7432,Extra ₹210 off,PNQ,MAA,Non-Stop,Pune,Chennai
254,IndiGo,IN 1253,16:00,2h 56m,18:56,₹10148,Extra ₹110 off,PNQ,MAA,Non-Stop,Pune,Chennai
255,SpiceJet,SP 1254,08:00,2h 22m,10:22,₹9134,Extra ₹410 off,PNQ,MAA,Non-Stop,Pune,Chennai
256,SpiceJet,SP 1255,09:30,2h 41m,12:11,₹9180,Extra ₹410 off,PNQ,CCU,Non-Stop,Pune,Kolkata
257,GoAir,GO 1256,08:00,2h 26m,10:26,₹11126,Extra ₹210 off,PNQ,CCU,Non-Stop,Pune,Kolkata
258,Vistara,VI 1257,16:00,1h 9m,17:09,₹10907,Extra ₹110 off,PNQ,CCU,Non-Stop,Pune,Kolkata
259,IndiGo,IN 1258,06:30,1h 13m,07:43,₹11631,Extra ₹310 off,PNQ,HYD,1 Stop,Pune,Hyderabad
260,AirAsia,AI 1259,08:00,1h 46m,09:46,₹10269,Extra ₹110 off,PNQ,HYD,Non-Stop,Pune,Hyderabad
261,IndiGo,IN 1260,09:30,1h 24m,10:54,₹8527,Extra ₹310 off,PNQ,HYD,Non-Stop,Pune,Hyderabad
262,Air India,AI 1261,09:30,2h 47m,12:17,₹12457,Extra ₹210 off,PNQ,GOI,Non-Stop,Pune,Goa
263,AirAsia,AI 1262,08:00,2h 4m,10:04,₹5471,Extra ₹410 off,PNQ,GOI,Non-Stop,Pune,Goa
264,SpiceJet,SP 1263,19:30,1h 11m,20:41,₹6739,Extra ₹310 off,PNQ,GOI,Non-Stop,Pune,Goa
265,Vistara,VI 1264,06:30,1h 33m,08:03,₹6708,Extra ₹210 off,PNQ,JAI,1 Stop,Pune,Jaipur
266,Air India,AI 1265,08:00,2h 46m,10:46,₹5225,Extra ₹410 off,PNQ,JAI,Non-Stop,Pune,Jaipur
267,SpiceJet,SP 1266,21:30,1h 7m,22:37,₹10474,Extra ₹210 off,PNQ,JAI,Non-Stop,Pune,Jaipur
268,SpiceJet,SP 1267,06:30,1h 34m,08:04,₹7818,Extra ₹310 off,PNQ,AMD,Non-Stop,Pune,Ahmedabad
269,SpiceJet,SP 1268,19:30,2h 57m,22:27,₹13740,Extra ₹110 off,PNQ,AMD,1 Stop,Pune,Ahmedabad
270,GoAir,GO 1269,08:00,2h 20m,10:20,₹5952,Extra ₹310 off,PNQ,AMD,Non-Stop,Pune,Ahmedabad
